Theon ,berates ,Lorren 
Jorah ,was spying on ,Daenerys for Varys 
Selyse ,is worried ,that Stannis 
Stannis ,insists ,that Shireen 
Dany ,speaks ,with Ser Barristan 
Barristan ,scoffs ,that Rhaegar 
Daenerys ,asks ,if Barristan 
Jon ,reunites ,with Samwell Tarly 
Doran ,asks ,Jaime 
Jaime ,asks ,if Doran 
Doran ,asks ,if Tommen 
Bronn ,go ,with Jaime 
Areo ,brings ,Ellaria 
Doran ,gives ,Ellaria 
Hizdahr ,zo ,Loraq 
Hizdahr ,indicates ,that Daenerys 
Daenerys ,takes ,Missandei 
Sam ,gives ,Jon 
Sam ,eulogizes ,Aemon 
Stannis ,asks ,Melisandre 
Doran ,has ,Areo Hotah 
Bronn ,is singing The ,Dornishman Wife 
Jorah ,is sold ,by Malko 
Brienne ,searches ,for Sansa 
Theon ,remains ,under Ramsay 
Hizdahr ,zo ,Loraq 
Aemon ,tells ,Jon 
Night ,s ,Watch 
Night ,s ,Watch 
Sam ,tells ,Gilly 
Night ,s ,Watch 
Sam ,killed the ,White Walker 
Stannis ,tells ,Ser Davos 
Davos ,suggests waiting ,until Jon 
Podrick ,thinks ,that Sansa 
Brienne ,believes ,that Sansa 
Sansa ,for murdering ,Bran 
Roose ,has ,Walda 
Roose ,tells ,Ramsay 
King ,s ,Landing 
Jorah ,are attacked by the ,Stonemen 
Jorah ,tells ,Tyrion 
Jorah ,tells ,Tyrion 
Margaery ,are ,As Cersei Lannister 
Margaery ,manipulates ,Tommen 
in King ,s ,Landing 
Cersei ,has ,Qyburn 
Roose Bolton ,scolds ,Ramsay 
Jon ,declines ,Stannis 
Stannis ,suggests appointing ,Alliser Thorne 
Lord Commander Jon Snow ,asks ,Sam about Maester Aemon 
Lord Commander Snow ,assigns ,Janos Slynt 
Slynt ,refuses ,Jon 
Jon ,has ,Janos 
Stannis Baratheon ,sees ,Jon 
Arya ,is accosted by The ,Waif In Braavos 
Waif ,using ,Arya Stark 
Jaqen ,allows ,Arya 
Red Priestess ,evangelizes ,in High Valyrian 
Varys ,tells ,Tyrion 
Arya ,arrives ,in Braavos 
Arya ,waits outside the ,House 
Arya ,knew ,as Jaqen 
Cersei ,shows ,Jaime 
Pycelle ,is outraged ,at Qyburn 
Kevan ,is disgusted ,at Cersei 
Sand Snakes ,are siding ,with Ellaria 
Sansa ,denies ,Brienne 
Brienne ,tells ,Podrick 
Barristan Selmy ,tells ,Daenarys 
Daenerys ,promises ,Ser Barristan 
Shireen Baratheon ,teaches ,Gilly 
Stannis ,shows ,Jon 
Jon ,tells ,Stannis 
Stannis ,makes ,Jon 
by Khal Drogo ,have departed ,Pentos 
Jon Snow ,has ,Winterfell 
Eddard ,tells ,Jon 
Robert ,is concerned that the ,Seven Kingdoms 
Robert ,asks ,Eddard about Wylla 
Catelyn ,decides ,that Ned 
Tyrion ,seems impressed by the ,Wall 
Joffrey ,saves ,Sansa 
Arya ,throws ,Joffrey 
Hound ,ran ,Mycah 
Pyp ,holding ,Jon 
Ser Rodrik Cassel ,intercept ,Robb 
Khal Drogo ,disciplines ,Mago 
Septa Mordane ,tells ,Sansa 
that Eddard ,trusted ,Littlefinger 
Eddard ,asks ,Varys 
Princess Daenerys Targaryen ,marries ,Khal Drogo 
Lady Catelyn Stark ,informs ,Eddard 
Eddard ,realizes ,that King Robert 
Jaime ,tells ,Tyrion 
Lysa ,says ,that Jon Arryn 
Drogo ,arrives ,in Pentos 
Drogo ,arrives ,at Illyrio 
Drogo ,gives ,Daenerys 
Ser Rodrik ,met at the ,Inn 
Joffrey ,asks ,Marillion 
Lancel ,is naked ,in Cersei 
Osha ,takes ,Bran 
Rickon ,calls ,Shaggydog 
that Jaime ,has been captured by the ,Starks 
Renly ,have claimed the ,Iron Throne 
Jon ,leaves ,Castle Black 
Mormont ,tells ,Jon 
Duur ,agrees ,that Daenerys 
Ser Jorah ,believes ,that Daenerys 
Riverrun ,is held by the ,Lannisters 
that Bronn ,has been beyond the ,Wall 
Tywin ,forced ,Jaime 
Jaime ,is captured ,by Robb 
